P,P,C,1B,2B,3B,SS,OF,OF,OF,,Instructions
,,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,RP,Tyler Holton (44217810),Tyler Holton,44217810,P,5300,WSH@DET 09/21/2026 06:40PM ET,DET,2.69
,,,,,,,,,,,RP,Sawyer Gipson-Long (44217811),Sawyer Gipson-Long,44217811,P,5300,WSH@DET 09/21/2026 06:40PM ET,DET,0
,,,,,,,,,,,SS,Gunnar Henderson (44217594),Gunnar Henderson,44217594,SS,5100,TOR@BAL 09/21/2026 06:35PM ET,BAL,7.39
,,,,,,,,,,,OF,Riley Greene (44217595),Riley Greene,44217595,OF,5000,WSH@DET 09/21/2026 06:40PM ET,DET,8.12
,,,,,,,,,,,SP,Chase Hampton (44217812),Chase Hampton,44217812,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,0
,,,,,,,,,,,SP,DJ Herz (44217813),DJ Herz,44217813,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,0
,,,,,,,,,,,SP,Mitchell Parker (44217814),Mitchell Parker,44217814,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,3.42
,,,,,,,,,,,RP,Eddy Yean (44217815),Eddy Yean,44217815,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,3.27
,,,,,,,,,,,RP,Will Dion (44217816),Will Dion,44217816,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,5.37
,,,,,,,,,,,SP,Luis Perales (44217817),Luis Perales,44217817,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.33
,,,,,,,,,,,RP,Matt Waldron (44217818),Matt Waldron,44217818,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,3.88
,,,,,,,,,,,RP,Paxton Schultz (44217819),Paxton Schultz,44217819,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.29
,,,,,,,,,,,SP,Ken Waldichuk (44217820),Ken Waldichuk,44217820,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,2.8
,,,,,,,,,,,RP,Jared Simpson (44217821),Jared Simpson,44217821,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,1.74
,,,,,,,,,,,RP,Carson Palmquist (44217822),Carson Palmquist,44217822,P,5000,WSH@DET 09/21/2026 06:40PM ET,WSH,1.78
,,,,,,,,,,,OF,George Springer (44217596),George Springer,44217596,OF,4900,TOR@BAL 09/21/2026 06:35PM ET,TOR,7.15
,,,,,,,,,,,3B,Christian Encarnacion-Strand (44217597),Christian Encarnacion-Strand,44217597,3B,4800,TOR@BAL 09/21/2026 06:35PM ET,BAL,7.20
,,,,,,,,,,,C,Ryan Jeffers (44217598),Ryan Jeffers,44217598,C,4700,MIN@SF 09/21/2026 09:45PM ET,MIN,7.72
,,,,,,,,,,,1B,Vladimir Guerrero Jr. (44217599),Vladimir Guerrero Jr.,44217599,1B,4600,TOR@BAL 09/21/2026 06:35PM ET,TOR,6.66
,,,,,,,,,,,OF,Daylen Lile (44217600),Daylen Lile,44217600,OF,4500,WSH@DET 09/21/2026 06:40PM ET,WSH,7.78
,,,,,,,,,,,2B,Kody Clemens (44217601),Kody Clemens,44217601,2B,4500,MIN@SF 09/21/2026 09:45PM ET,MIN,7.50
,,,,,,,,,,,3B,Coby Mayo (44217603),Coby Mayo,44217603,3B,4400,TOR@BAL 09/21/2026 06:35PM ET,BAL,6.58
,,,,,,,,,,,C,Dillon Dingler (44217602),Dillon Dingler,44217602,C,4400,WSH@DET 09/21/2026 06:40PM ET,DET,7.45
,,,,,,,,,,,3B,Kazuma Okamoto (44217604),Kazuma Okamoto,44217604,3B,4300,TOR@BAL 09/21/2026 06:35PM ET,TOR,7.53
,,,,,,,,,,,OF,Luke Keaschall (44217605),Luke Keaschall,44217605,OF,4300,MIN@SF 09/21/2026 09:45PM ET,MIN,7.13
,,,,,,,,,,,OF,Brett Bateman (44217607),Brett Bateman,44217607,OF,4200,TOR@BAL 09/21/2026 06:35PM ET,TOR,8.11
,,,,,,,,,,,C,Eduardo Valencia (44217606),Eduardo Valencia,44217606,C,4200,WSH@DET 09/21/2026 06:40PM ET,DET,7.19
